Pipeline Type,Cause Category,Unintentional Release (Barrels)
UNDERGROUND,CORROSION,75
TANK,CORROSION,27.29
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.67
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,0.29
UNDERGROUND,CORROSION,1.78
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,7
UNDERGROUND,CORROSION,0.48
UNDERGROUND,CORROSION,30
UNDERGROUND,CORROSION,8.57
ABOVEGROUND,INCORRECT OPERATION,4.5
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,125
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,5
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,20
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.5
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,5
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,30
UNDERGROUND,CORROSION,1.7
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1
TANK,ALL OTHER CAUSES,0.71
UNDERGROUND,CORROSION,308
ABOVEGROUND,INCORRECT OPERATION,8.62
TANK,MATERIAL/WELD/EQUIP FAILURE,0.02
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,406
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.14
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,5
UNDERGROUND,CORROSION,2
ABOVEGROUND,INCORRECT OPERATION,0.95
TRANSITION AREA,CORROSION,0.4
ABOVEGROUND,NATURAL FORCE DAMAGE,0.95
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,0.2
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,0.52
TANK,INCORRECT OPERATION,544
UNDERGROUND,CORROSION,1250
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,20
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1.74
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,23
,,
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,6911
