Accident Year,Accident State,Unintentional Release (Barrels)
2012,TX,0.5
2012,ND,76
2012,MT,1
2012,LA,0.59
2012,TX,40
2012,TX,1.5
2012,TX,1.3
2012,WY,7.5
2012,IL,900
2012,OK,35
2012,TX,10
2012,NE,60
2012,IA,10.52
2012,WY,20
2012,TX,86
2012,CA,600
2012,IL,0.24
2012,KS,0.1
2012,OK,2
2012,TX,23
2012,TX,11
2012,TX,1187.69
2012,LA,2.65
2012,TX,0.1
2012,NJ,5.3
2012,LA,329
2012,NJ,48
2012,KS,7.3
2012,TX,5
2012,TX,0.3
2012,OK,38.5
2012,VA,0.45
2012,PA,3.1
2012,NE,23.81
2012,KS,100
2012,TX,4.25
2012,TX,6719
2012,TX,1
2012,LA,0.3
2012,KY,0.48
2012,ND,0.23
2012,MI,3
2012,TX,0.23
2012,IL,3
2012,MS,10
2012,MS,7
2012,WY,0.7
2012,TX,0.2
2012,NM,150
2012,VA,1.8
2012,MI,0
2012,KS,158.4
2012,LA,8.33
2013,NC,131.3
2013,MN,0.48
2013,GA,5.95
2013,TX,2
2013,PA,12.5
2013,KS,0.24
2013,OK,1
2013,TX,10
2013,CA,0.22
2013,AL,0.2
2013,OK,4
2013,IA,0.24
2013,LA,3.68
2013,TX,1.5
2013,TX,0.2
2013,IN,2.2
2013,OK,1
2013,CA,0.71
2013,MS,0.24
2013,TX,0.7
2013,TX,0.12
2013,KS,391.8
2013,AR,31.2
2013,TX,97.52
2013,KY,0.3
2013,AL,1
2013,KS,1
2013,TX,2
2013,MT,0.3
2013,MN,0.2
2013,OK,3
2013,TN,0.67
2013,KS,2.38
2013,TX,350
2013,OK,12
2013,ND,0.24
2013,TX,0.48
2013,ID,15
2013,TX,20
2013,NJ,4
2013,KS,14.7
2013,NM,20
2013,MI,0.24
2013,TX,4.83
2013,VA,0.79
2013,IA,0.45
2013,IL,0
2013,TX,25
2013,TX,1100
2013,TX,0.74
2013,TX,8.5
2013,TX,0.36
2013,MS,122
2013,TX,9
2013,TX,25
2013,TX,3
2013,WY,15
2013,TX,7
2013,NJ,2
2013,TX,15
2013,OK,0.25
2013,NE,0.48
2013,MN,5.95
2013,MO,53.3
2013,TX,3.4
2013,TX,0.3
2013,TX,0.3
2013,MO,0.8
2013,KS,20
2013,TX,25
2013,WY,300
2013,TX,1
2013,LA,0.87
2013,GA,0.6
2013,NJ,1.21
2013,TX,3
2013,TX,0.43
2013,TX,0.1
2013,LA,0
2013,TX,0.01
2013,IN,1.33
2013,OK,0.36
2013,IN,0.7
2013,IL,1.57
2013,TX,550
2013,TX,37.16
2013,OK,10
2013,CA,0.36
2013,OK,75
2013,KS,0.9
2013,TX,3
2013,OK,1
2013,TX,1.5
2013,NE,0.3
2013,TX,0.78
2013,LA,1
2013,MS,190.76
2013,KS,0.47
2013,TX,0.1
2013,AR,5600
2013,TX,50
2013,TX,37.5
2013,LA,23702
2013,IA,10
2013,TX,3
2013,UT,499
2013,TX,300
2013,TX,8
2013,IN,255
2013,KY,20
2013,TX,5.88
2013,TX,940
2013,AR,3190
2013,TX,1.6
2013,LA,10
2013,MN,0.71
2013,CA,2.3
2013,IL,1.1
2013,MI,2.39
2013,KS,100
2013,LA,3.42
2013,TX,1.19
2013,TX,1
2013,TX,0.2
2013,TX,1
2013,MI,0.01
2013,TX,1
2013,CA,1.3
2013,LA,9
2013,OH,0.24
2013,TX,1
2013,TX,52
2013,MO,0.24
2013,MS,1
2013,IL,30
2013,CT,0.95
2013,AL,0.1
2013,KS,5
2013,TX,16.1
2013,TX,50
2013,LA,2.9
2013,OH,0.12
2013,OK,3
2013,OK,5
2013,NJ,0.59
2013,IL,0.7
2013,TX,3
2013,OK,0.28
2013,TX,4
2013,PA,0.24
2013,MN,33.33
2013,IN,0.2
2013,TX,2
2013,TX,0.36
2013,MO,1.3
2013,IA,253
2013,ND,1.5
2013,NJ,0.83
2013,TX,0.57
2013,MN,0.6
2013,SC,0.2
2013,TN,4.5
2013,CA,0.69
2013,TX,0.48
2013,MO,0.92
2013,OK,2
2013,ND,1
2013,PA,0.5
2013,LA,1
2013,TX,1
2013,IN,539
2013,TX,3
2013,OH,1
2013,LA,7.6
2013,TX,2
2013,IA,0.38
2013,TX,1
2013,TX,4.1
2013,OH,0.23
2013,LA,125
2013,TX,0.7
2013,OK,0.27
2013,IL,1.36
2013,NE,2.39
2013,OK,2246
2013,TX,0.2
2013,TX,0.5
2013,LA,2
2013,PA,5.3
2013,OK,1
2013,TX,1
2013,TX,3
2013,MN,0.12
2013,TX,0.6
2013,TX,0.7
2013,MO,0.5
2013,IN,0.2
2013,TX,1
2013,CO,0.8
2013,TX,0.4
2013,UT,10
2013,OK,200
2013,WY,135
2013,IA,0.74
2013,TX,200
2013,KS,3.7
2013,MI,0.48
2013,TX,0.71
2013,IL,0.6
2013,TX,7
2013,TX,1
2013,NM,26
2013,TX,4153
2013,AK,0.52
2013,CA,15.5
2013,TX,0.48
2013,GA,2.2
2013,OH,0.2
2013,TX,0.48
2013,TX,1.5
2013,TX,0.3
2013,MD,1.83
2013,GA,0.4
2013,TX,20
2013,TX,150
2013,TX,21
2013,NM,1
2013,OK,85
2013,TX,0.28
2013,LA,0.01
2013,TX,220
2013,IA,18.18
2013,IA,5
2013,MT,411
2013,TX,1.6
2013,TX,0.47
2013,ND,870
2013,TX,2
2013,KS,0.9
2013,CA,0.34
2013,KS,1
2013,OH,0.1
2013,TX,0.02
2013,MO,1.9
2013,ND,2
2013,NC,6.7
2013,TX,1
2013,LA,0
2013,TX,4
2013,KS,2
2013,MN,3.33
2013,TX,50
2013,ND,0.25
2013,TX,0.2
2013,WY,125
2013,MN,0
2013,OK,535
2013,NM,1.2
2013,TX,2.8
2013,ND,20600
2013,NC,28.4
2013,OK,0.47
2013,NM,2
2013,TX,12.5
2013,TX,0.1
2013,LA,5
2013,MN,0.2
2013,TX,80
2013,CA,10.65
2013,IN,160
2013,IN,0.7
2013,CA,130
2013,MN,0.24
2013,OH,2
2013,NY,2.5
2013,CA,1.36
2013,TX,0.5
2013,TX,0.48
2013,NJ,0.6
2013,IL,18400
2013,TX,7.6
2013,WV,11405
2013,NJ,1.85
2013,ND,118
2013,IL,0.38
2013,TX,0
2013,TX,3
2013,IA,5.23
2013,WY,6
2013,OK,491
2013,PA,0.95
2013,MI,12
2013,TX,10
2013,TX,6
2013,TX,0.47
2013,KS,0.6
2013,KS,17
2013,IL,273
2013,TX,1
2013,TX,0.5
2013,MO,0.81
2013,TX,2752
2013,TX,20
2013,OK,1
2013,NC,5.7
2013,CA,10
2013,TX,150
2013,OK,6
2013,CA,0.6
2013,NM,2491
2013,NJ,3.81
2013,TX,4
2013,OK,4
2013,PA,0.04
2013,MN,16.43
2013,IA,4.52
2013,KS,0.2
2013,TX,5
2013,PA,3.5
2013,TX,1
2013,MI,2.45
2013,MI,5.65
2013,KS,0.12
2013,TX,34
2013,TX,0
2013,TX,10
2013,TX,3.48
2013,TX,1
2013,TX,30
2013,CA,500
2013,TX,13
2013,MS,0.36
2013,CA,133
2013,CA,6
2013,MS,0.1
2013,TX,0.8
2013,NY,0.07
2013,TX,0.76
2013,NM,20
2013,TX,1.75
2013,OK,7
2013,TX,0.48
2013,TX,8
2013,TX,0.24
2013,CA,0.16
2013,TX,400
2013,IL,1.17
2013,NJ,0.08
2013,ND,5
2013,IA,21
2013,OK,2.25
2013,ND,9
2013,OK,2.8
2013,TX,0.5
2013,TX,1.2
2013,TX,10
2013,WI,0.24
2013,OK,1.7
2013,TX,1
2013,TX,1
2013,MS,1
2013,TX,4357
2013,OK,7
2013,AR,0.23
2013,CO,0.2
2013,LA,3
2013,OK,125
2013,NM,0.2
2013,NM,3
2013,OK,17.8
2013,IN,20
2013,TX,160
2013,OK,20
2013,TX,0.22
2013,WY,15
2013,TX,0.24
2013,TX,0.18
2013,KS,3.7
2013,KS,0.01
2013,OK,7
2013,IL,0.1
2013,OK,30
2013,TX,0.71
2013,KS,142.5
2013,TX,20
2013,WY,0.48
2013,OK,200
2013,PA,2.97
2013,NM,3
2013,KS,67
2013,PA,0.24
2013,NM,15
2013,KY,0.24
2013,OK,3.75
2013,NM,3500
2013,TX,0.24
2013,OK,138
2013,OK,47
2013,TX,3
2013,IL,50
2013,TX,716
2014,IL,1
2014,TX,2.9
2014,CA,440
2014,OK,45
2014,IN,0.36
2014,MS,14.6
2014,LA,1
2014,CA,65
2014,NJ,0.24
2014,NC,0.6
2014,LA,5
2014,SC,1238.1
2014,NE,1.3
2014,CO,2
2014,OK,30
2014,OH,2.4
2014,KS,110
2014,LA,0.79
2014,KS,5
2014,MN,2.38
2014,TX,0.5
2014,CA,186
2014,TX,15
2014,OH,0.1
2014,WY,0.9
2014,KS,35
2014,TX,0.6
2014,KS,0.24
2014,KS,0.24
2014,NJ,0.12
2014,OK,25
2014,TX,60
2014,MN,3
2014,KS,2.5
2014,TX,0.5
2014,KS,0.36
2014,TX,400
2014,TX,0.5
2014,TX,0.25
2014,KS,0.24
2014,TX,2
2014,OK,2
2014,NM,1
2014,IN,1
2014,VA,20
2014,LA,0.12
2014,TX,475
2014,PA,12
2014,WY,1
2014,TX,0.48
2014,IN,0.24
2014,LA,1.1
2014,NJ,0.24
2014,IN,5
2014,TX,0.02
2014,LA,0.13
2014,MI,17.97
2014,TX,20
2014,OK,321.5
2014,TX,5
2014,IN,0.2
2014,OH,7.14
2014,ND,800
2014,WI,0.24
