Operator Name,Liquid Recovery (Barrels),Net Loss (Barrels)
"DENBURY GULF COAST PIPELINES, LLC",0,8.36
ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,0.24,0
"MAGELLAN PIPELINE COMPANY, LP",0.12,0
"MAGELLAN PIPELINE COMPANY, LP",20,0
ENTERPRISE CRUDE PIPELINE LLC,0,25
ENTERPRISE PRODUCTS OPERATING LLC,0,0.53
COLONIAL PIPELINE CO,0.36,0.09
CONOCOPHILLIPS,1.19,0.81
MARATHON PIPE LINE LLC,80,0
"MAGELLAN TERMINALS HOLDINGS, LP",100,0
BP USFO/LOGISTICS,0.95,0
"MAGELLAN TERMINALS HOLDINGS, LP",296,304
"KINDER MORGAN LIQUID TERMINALS, LLC",8,15
PLANTATION PIPE LINE CO,0.24,0
CONOCOPHILLIPS,0,1
TC OIL PIPELINE OPERATIONS INC,15,0
ENTERPRISE PRODUCTS OPERATING LLC,2,0
ENTERPRISE CRUDE PIPELINE LLC,1,0
"BUCKEYE PARTNERS, LP",268,32
ENTERPRISE PRODUCTS OPERATING LLC,3,1
"MARTIN OPERATING PARTNERSHIP, L.P.",12,0
ENTERPRISE CRUDE PIPELINE LLC,38,2
MUSTANG PIPE LINE PARTNERS,0.5,0
COLONIAL PIPELINE CO,0.29,0
CHEVRON PRODUCTS COMPANY,1,9
ENBRIDGE PIPELINES (OZARK) L.L.C.,4.5,0
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0.55,0
MARATHON PIPE LINE LLC,0.15,0
CHEVRON PIPE LINE CO,23,205
EXXONMOBIL PIPELINE CO,0,1
"PLAINS PIPELINE, L.P.",115,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.29,0
"PLAINS PIPELINE, L.P.",4,0
CHEVRON PETROCHEMICAL PIPELINE LLC,0,5.23
COLONIAL PIPELINE CO,0.19,0
BP WEST COAST PRODUCTS L.L.C.,0.6,0
WEST TEXAS GULF PIPELINE CO,0.24,0
WEST SHORE PIPELINE CO,2.4,9.5
"BUCKEYE PARTNERS, LP",0.48,0
KINDER MORGAN COCHIN LLC,0,0.76
MARATHON PIPE LINE LLC,6643,2357
"MAGELLAN AMMONIA PIPELINE, L.P.",0,1.43
SUNOCO PIPELINE L.P.,0,1
ENTERPRISE CRUDE PIPELINE LLC,0,1
"MAGELLAN AMMONIA PIPELINE, L.P.",0,15
"MAGELLAN AMMONIA PIPELINE, L.P.",0,2
PARAMOUNT PETROLEUM CORP,0.1,0.9
"SFPP, LP",8.19,0
SUNOCO PIPELINE L.P.,6,2
EXXONMOBIL PIPELINE CO,0,1
"PLAINS PIPELINE, L.P.",2,0
ONEOK NGL PIPELINE LP,0,3
"ROCKY MOUNTAIN PIPELINE SYSTEM, LLC",0.46,0
"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC",93,2
BP WEST COAST PRODUCTS L.L.C.,3.9,0.2
ENTERPRISE CRUDE PIPELINE LLC,0.14,0
ENTERPRISE PRODUCTS OPERATING LLC,0,12
TC OIL PIPELINE OPERATIONS INC,400,0
ENTERPRISE PRODUCTS OPERATING LLC,50,10
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",0,1
"MAGELLAN PIPELINE COMPANY, LP",0.24,0
BUCKEYE GULF COAST PIPELINE LP,0,5
ONEOK NGL PIPELINE LP,0,100
"BUCKEYE PARTNERS, LP",2.4,0
WEST SHORE PIPELINE CO,2,0
MARATHON PIPE LINE LLC,0.08,0
JAYHAWK PIPELINE LLC,14.2,0.8
ENTERPRISE CRUDE PIPELINE LLC,36,85
"KINDER MORGAN LIQUID TERMINALS, LLC",1,0
BP WEST COAST PRODUCTS L.L.C.,1,3
WOLVERINE PIPELINE CO,1,3
TC OIL PIPELINE OPERATIONS INC,8.5,0
MARATHON PIPE LINE LLC,1.3,0
HOUSTON REFINING LP.,0.2,0.05
"MAGELLAN PIPELINE COMPANY, LP",0.5,0
"MAGELLAN PIPELINE COMPANY, LP",0.35,0
"MAGELLAN AMMONIA PIPELINE, L.P.",0,1
PLANTATION PIPE LINE CO,3.09,0
ENTERPRISE CRUDE PIPELINE LLC,5,1
ENTERPRISE CRUDE PIPELINE LLC,4383,7846
"MAGELLAN AMMONIA PIPELINE, L.P.",0,0.36
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,4,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0.42,0
"SHELL PIPELINE CO., L.P.",0.24,0
"NUSTAR LOGISTICS, L.P.",0,0.23
ENTERPRISE PRODUCTS OPERATING LLC,0,1
"SHELL PIPELINE CO., L.P.",0.02,0
ENTERPRISE PRODUCTS OPERATING LLC,0,20
COLONIAL PIPELINE CO,0.8,0
"BUCKEYE PARTNERS, LP",0.4,0
CHEVRON PIPE LINE CO,0,33
ONEOK NGL PIPELINE LP,0,4.88
MID - VALLEY PIPELINE CO,90,10
CHEVRON PIPE LINE CO,0,0.89
ENTERPRISE PRODUCTS OPERATING LLC,10,2
ENTERPRISE PRODUCTS OPERATING LLC,0,50
WEST TEXAS GULF PIPELINE CO,0,1
ENTERPRISE CRUDE PIPELINE LLC,10,9
"PLAINS PIPELINE, L.P.",275,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0.2,0.03
BP WEST COAST PRODUCTS L.L.C.,3.8,0.2
"MAGELLAN PIPELINE COMPANY, LP",1.18,1.12
"MAGELLAN PIPELINE COMPANY, LP",3,0
CRIMSON PIPELINE L.P.,15,5
MOBIL CHEMICAL CO,0,0.14
MID - VALLEY PIPELINE CO,0,1
EXXONMOBIL PIPELINE CO,0,1509
CONOCOPHILLIPS,16,13.4
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0.48,0
ONEOK NGL PIPELINE LP,0,3.44
"MAGELLAN PIPELINE COMPANY, LP",0,10
ENBRIDGE PIPELINES (OZARK) L.L.C.,0.6,0
CHEVRON PIPE LINE CO,0,0.28
EXXONMOBIL PIPELINE CO,0.9,0
WEST TEXAS GULF PIPELINE CO,60,10
MOBIL CORP,0,0.38
