Accident Year,Accident State,Unintentional Release (Barrels)
2012,TX,13
2012,TX,1.5
2012,TX,0.24
2012,TX,718
2012,TX,450
2012,TX,0.12
2012,TX,100
2012,TX,2
2012,TX,0.5
2012,TX,40
2012,TX,1.5
2012,TX,1.3
2012,TX,10
2012,TX,86
2012,TX,23
2012,TX,11
2012,TX,1187.69
2012,TX,0.1
2012,TX,5
2012,TX,0.3
2012,TX,4.25
2012,TX,6719
2012,TX,1
2012,TX,0.23
2012,TX,0.2
2013,TX,2
2013,TX,10
2013,TX,1.5
2013,TX,0.2
2013,TX,0.7
2013,TX,0.12
2013,TX,97.52
2013,TX,2
2013,TX,350
2013,TX,0.48
2013,TX,20
2013,TX,4.83
2013,TX,25
2013,TX,1100
2013,TX,0.74
2013,TX,8.5
2013,TX,0.36
2013,TX,9
2013,TX,25
2013,TX,3
2013,TX,7
2013,TX,15
2013,TX,3.4
2013,TX,0.3
2013,TX,0.3
2013,TX,25
2013,TX,1
2013,TX,3
2013,TX,0.43
2013,TX,0.1
2013,TX,0.01
2013,TX,550
2013,TX,37.16
2013,TX,3
2013,TX,1.5
2013,TX,0.78
2013,TX,0.1
2013,TX,50
2013,TX,37.5
2013,TX,3
2013,TX,300
2013,TX,8
2013,TX,5.88
2013,TX,940
2013,TX,1.6
2013,TX,1.19
2013,TX,1
2013,TX,0.2
2013,TX,1
2013,TX,1
2013,TX,1
2013,TX,52
2013,TX,16.1
2013,TX,50
2013,TX,3
2013,TX,4
2013,TX,2
2013,TX,0.36
2013,TX,0.57
2013,TX,0.48
2013,TX,1
2013,TX,3
2013,TX,2
2013,TX,1
2013,TX,4.1
2013,TX,0.7
2013,TX,0.2
2013,TX,0.5
2013,TX,1
2013,TX,3
2013,TX,0.6
2013,TX,0.7
2013,TX,1
2013,TX,0.4
2013,TX,200
2013,TX,0.71
2013,TX,7
2013,TX,1
2013,TX,4153
2013,TX,0.48
2013,TX,0.48
2013,TX,1.5
2013,TX,0.3
2013,TX,20
2013,TX,150
2013,TX,21
2013,TX,0.28
2013,TX,220
2013,TX,1.6
2013,TX,0.47
2013,TX,2
2013,TX,0.02
2013,TX,1
2013,TX,4
2013,TX,50
2013,TX,0.2
2013,TX,2.8
2013,TX,12.5
2013,TX,0.1
2013,TX,80
2013,TX,0.5
2013,TX,0.48
2013,TX,7.6
2013,TX,0
2013,TX,3
2013,TX,10
2013,TX,6
2013,TX,0.47
2013,TX,1
2013,TX,0.5
2013,TX,2752
2013,TX,20
2013,TX,150
2013,TX,4
2013,TX,5
2013,TX,1
2013,TX,34
2013,TX,0
2013,TX,10
2013,TX,3.48
2013,TX,1
2013,TX,30
2013,TX,13
2013,TX,0.8
